BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
AWJG03A04,AWJG03A04,GCA_023055435.1,AWJG03A04_R1_001.fastq.gz,AWJG03A04_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03A04,73-Haliotis
AWJG03B04,AWJG03B04,GCA_023055435.1,AWJG03B04_R1_001.fastq.gz,AWJG03B04_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG03B04,73-Haliotis
AWJG03C04,AWJG03C04,GCA_023055435.1,AWJG03C04_R1_001.fastq.gz,AWJG03C04_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03C04,73-Haliotis
AWJG03D04,AWJG03D04,GCA_023055435.1,AWJG03D04_R1_001.fastq.gz,AWJG03D04_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG03D04,73-Haliotis
AWJG03E04,AWJG03E04,GCA_023055435.1,AWJG03E04_R1_001.fastq.gz,AWJG03E04_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E04,73-Haliotis
AWJG03G04,AWJG03G04,GCA_023055435.1,AWJG03G04_R1_001.fastq.gz,AWJG03G04_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG03G04,73-Haliotis
AWJG03H04,AWJG03H04,GCA_023055435.1,AWJG03H04_R1_001.fastq.gz,AWJG03H04_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03H04,73-Haliotis
AWJG03A05,AWJG03A05,GCA_023055435.1,AWJG03A05_R1_001.fastq.gz,AWJG03A05_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG03A05,73-Haliotis
AWJG03F04,AWJG03F04,GCA_023055435.1,AWJG03F04_R1_001.fastq.gz,AWJG03F04_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F04,73-Haliotis
AWJG03B05,AWJG03B05,GCA_023055435.1,AWJG03B05_R1_001.fastq.gz,AWJG03B05_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG03B05,73-Haliotis
AWJG03D05,AWJG03D05,GCA_023055435.1,AWJG03D05_R1_001.fastq.gz,AWJG03D05_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03D05,73-Haliotis
AWJG03C05,AWJG03C05,GCA_023055435.1,AWJG03C05_R1_001.fastq.gz,AWJG03C05_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG03C05,73-Haliotis
AWJG03E05,AWJG03E05,GCA_023055435.1,AWJG03E05_R1_001.fastq.gz,AWJG03E05_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E05,73-Haliotis
AWJG03F05,AWJG03F05,GCA_023055435.1,AWJG03F05_R1_001.fastq.gz,AWJG03F05_R2_001.fastq.gz,43.340138888888895,-124.3781611111111,73-Haliotis,AWJG03F05,73-Haliotis
AWJG03G05,AWJG03G05,GCA_023055435.1,AWJG03G05_R1_001.fastq.gz,AWJG03G05_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG03G05,73-Haliotis
AWJG03H05,AWJG03H05,GCA_023055435.1,AWJG03H05_R1_001.fastq.gz,AWJG03H05_R2_001.fastq.gz,40.02043888888889,-124.06986666666667,73-Haliotis,AWJG03H05,73-Haliotis
AWJG03A06,AWJG03A06,GCA_023055435.1,AWJG03A06_R1_001.fastq.gz,AWJG03A06_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG03A06,73-Haliotis
AWJG03B06,AWJG03B06,GCA_023055435.1,AWJG03B06_R1_001.fastq.gz,AWJG03B06_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG03B06,73-Haliotis
AWJG03D06,AWJG03D06,GCA_023055435.1,AWJG03D06_R1_001.fastq.gz,AWJG03D06_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG03D06,73-Haliotis
